imgName,faces,leftEarCorner,leftEarRoot,leftEye,rightEye,rightEarRoot,rightEarCorner,Nose,Mouth
./dataset/set15/CIMG2483_-_SHEEP_#22.jpg,"[[416, 122, 437, 501]]","[[418, 270]]","[[560, 353]]","[[640, 404]]","[[799, 340]]","[[744, 267]]","[[780, 113]]","[[834, 564]]","[[829, 591]]"
./dataset/set15/CIMG3434_-_SHEEP_#36.jpg,"[[417, 474, 620, 505]]","[[431, 508]]","[[587, 542]]","[[588, 623]]","[[828, 644]]","[[858, 563]]","[[1028, 559]]","[[651, 943]]","[[661, 970]]"
./dataset/set15/CIMG3727_-_SHEEP_#_30.jpg,"[[272, 159, 555, 472]]","[[279, 183]]","[[413, 261]]","[[419, 297]]","[[667, 302]]","[[684, 271]]","[[817, 188]]","[[502, 561]]","[[510, 611]]"
./dataset/set15/CIMG4556_-_SHEEP_#4.jpg,"[[298, 302, 256, 266]]","[[310, 344]]","[[363, 343]]","[[358, 361]]","[[470, 358]]","[[505, 337]]","[[523, 325]]","[[311, 514]]","[[322, 540]]"
./dataset/set15/CIMG4866.jpg,"[[364, 208, 424, 349]]","[[386, 234]]","[[470, 258]]","[[466, 283]]","[[635, 290]]","[[681, 292]]","[[777, 227]]","[[406, 469]]","[[419, 508]]"
./dataset/set15/CIMG4958_-_SHEEP_#15.jpg,"[[527, 278, 562, 523]]","[[537, 380]]","[[624, 354]]","[[671, 413]]","[[929, 401]]","[[928, 348]]","[[1083, 355]]","[[877, 717]]","[[868, 760]]"
./dataset/set15/CIMG5407_-_SHEEP_#4.jpg,"[[500, 295, 269, 222]]","[[506, 342]]","[[565, 342]]","[[580, 360]]","[[693, 345]]","[[702, 330]]","[[758, 320]]","[[658, 489]]","[[659, 504]]"
./dataset/set15/CIMG5846_-_SHEEP_#_31.jpg,"[[518, 435, 320, 271]]","[[525, 474]]","[[611, 495]]","[[611, 521]]","[[752, 518]]","[[766, 495]]","[[828, 449]]","[[650, 666]]","[[655, 689]]"
./dataset/set15/CIMG5932_-_SHEEP_#_32.jpg,"[[599, 342, 258, 288]]","[[609, 415]]","[[647, 447]]","[[683, 465]]","[[809, 448]]","[[787, 397]]","[[844, 347]]","[[841, 578]]","[[834, 605]]"
./dataset/set15/CIMG5958_-_SHEEP_#_30.jpg,"[[379, 231, 480, 426]]","[[385, 255]]","[[509, 313]]","[[512, 356]]","[[743, 352]]","[[743, 306]]","[[852, 258]]","[[650, 607]]","[[648, 635]]"
